0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:26:04 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:26:04 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:26:05 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:26:05 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:26:05 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:26:05 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:26:05 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:26:07 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:26:22 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:30:36 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:31:02 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=4 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:31:06 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=4 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:31:08 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=14 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:32:14 +0900] "GET /WebProjectEx1/day0420/Shopjson.html HTTP/1.1" 200 5766
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:32:14 +0900] "GET /WebProjectEx1/day0420/ShopToJson.jsp HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:32:15 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=14 HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:35:04 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=14 HTTP/1.1" 200 133
